вакансия,ключевые навыки,опыт работы,зарплата,название компании,Звезды,кол-во отзывов
Аналитик данных (Excel) с функциями помощника руководителя,,1–3 года,"от ,70 000, ,₽",САТУРН - строительные материалы,"4,1",373
Ведущий аналитик данных,,1–3 года,"от ,80 000, до ,80 000, ,₽","МАГНИТ, Розничная сеть",,
"Аналитик по обработке данных (удалённо, проект на 3 месяца)","Анализ данных,Базы данных,MS Excel",не требуется,"от ,80 000, до ,80 000, ,₽",ЛУКОЙЛ,"3,1",95
Аналитик данных,,3–6 лет,"от ,70 000, ,₽","Ямал, Авиационная транспортная компания",,
Аналитик данных,,не требуется,"от ,70 000, ,₽",Совкомбанк,"4,0",3353
Аналитик данных,,1–3 года,"от ,70 000, ,₽",ЛЭтуаль Офис,,
Аналитик данных,"Аналитика,Анализ данных,Аналитическое мышление,Анализ бизнес показателей,Сводные таблицы,Сбор и анализ информации,Прогнозирование,Работа с большим объемом информации,Работа с базами данных,Базы данных,Анализ текущих финансовых показателей",1–3 года,"от ,70 000, ,₽",Компания Арсенал,"2,4",6
Аналитик данных отдела продаж,"MS Excel,Аналитическое мышление,Анализ данных,Английский язык,Оценка потребностей клиентов,Аналитика,Работа с базами данных,прогнозирование продаж,Прогнозирование",1–3 года,"от ,70 000, ,₽",СервисКлауд,"4,4",18
Аналитик данных,"Power BI,Анализ данных,Аналитика,MS Excel",1–3 года,"до ,100 000, ,₽",ГКУ Центр занятости населения города Москвы,"3,6",23
Аналитик данных,"MS PowerPoint,Аналитическое мышление,Работа с большим объемом информации",1–3 года,"от ,70 000, до ,100 000, ,₽",Министерство жилищной политики Московской области,"4,5",3
Аналитик данных,,1–3 года,"от ,80 000, до ,85 000, ,₽",АНО ДПО ИПК ТЕХНОПРОГРЕСС,,
Аналитик данных (м.Пятницкое шоссе),,1–3 года,"до ,100 000, ,₽",ТЛ Групп,,
Аналитик данных телепроектов,,1–3 года,"от ,74 450, ,₽",Первый канал,"3,6",98
Специалист по учебно-методической работе/Аналитик данных,"Анализ данных,MS PowerPoint,Аналитическое мышление,Работа с большим объемом информации,Сводные таблицы,Подготовка презентаций,MS Excel",не требуется,"от ,80 000, ,₽",МФТИ,,
Аналитик данных,"SQL,Базы данных,СУБД,Redmine,Power BI,Jira,MS SQL,Визуализация данных,Работа в условиях многозадачности",1–3 года,"от ,80 000, до ,100 000, ,₽",ГБУЗ МГОБ № 62 ДЗМ,"4,3",2
Аналитик данных,,1–3 года,"от ,80 000, до ,98 000, ,₽",ГКУ Центр занятости населения города Москвы,"3,6",23
Аналитик данных,,1–3 года,"от ,76 000, ,₽",Московский метрополитен,,
Аналитик данных,"Анализ бизнес показателей,Аналитика продаж,Аналитическое мышление,Сбор и анализ информации,Аналитика,Оптимизация бизнес-процессов,Разработка технических заданий,Power BI,Анализ данных,Постановка задач разработчикам,Olap (online analytical processing),MS Power BI,BI",1–3 года,"от ,80 000, до ,100 000, ,₽",Lasmart,"4,6",6
